id,title,authors,year,venue,type,category,author_role,awarded,doi,url,theme_ids,primary_theme,project_ids,software_ids,note
2023-international-journal-linear-regression-based-indoor-daylight-illum,Linear regression based indoor daylight illuminance estimation with simple measurements based on daylight coefficient method,"Jo, H. G.; Choi, S. H.; Park, C. S.",2023,"Journal of Building Performance Simulation 16(5), pp. 574-587.",journal-article,international-journal,first,false,10.1080/19401493.2023.2185684,https://www.tandfonline.com/doi/full/10.1080/19401493.2023.2185684,daylighting,daylighting,light-hvac-optimization-2020,,
2026-international-journal-implications-of-geometry-simplification-in-dy,Implications of geometry simplification in dynamic building energy modeling: Comparative analysis of detailed and simplified geometries,"Park, C. H.; Lee, S. J.; Jo, H. G.; Park, C. S.",2026,"Energy and Buildings, 117839.",journal-article,international-journal,coauthor,false,,https://www.sciencedirect.com/science/article/pii/S0378778826008996?via%3Dihub,building-energy-simulation;performance-evaluation,building-energy-simulation,existing-building-simulator-2024,eplussimple;semantic-idf,
2025-international-journal-causality-driven-interpretable-surrogate-mode,"Causality-driven, interpretable surrogate modeling for DOAS preheating control","Mun, J.; Jo, H. G.; Kim, J. H.; Urabe, E.; Mun, J.; Park, Y.; Park, C. S.",2025,"Energy and Buildings, 116625.",journal-article,international-journal,coauthor,false,,https://www.sciencedirect.com/science/article/pii/S0378778825013556?dgcid=raven_sd_aip_email,hvac-control;uncertainty-ml,hvac-control,fab-ut-optimization-2022,hvac-studio,
2025-international-journal-domain-invariant-representation-learning-for,Domain-invariant representation learning for generalizable chiller model: a real-world case study,"Kim, J. H.; Kim, Y. S.; Jo, H. G.; Mun, J.; Park, C. S.",2025,"Energy and Buildings, 116168.",journal-article,international-journal,coauthor,false,,https://www.sciencedirect.com/science/article/pii/S0378778825008989?dgcid=coauthor,hvac-control;uncertainty-ml,hvac-control,fab-ut-optimization-2022,hvac-studio,
2025-international-journal-real-time-model-predictive-control-of-energy,Real-time model predictive control of energy recovery ventilators for a school building,"Ra, S. J.; Jo, H. G.; Park, C. S.",2025,"Science and Technology for the Built Environment, Vol. 31, No. 9, pp. 1155-1166.",journal-article,international-journal,coauthor,false,10.1080/23744731.2025.2539048,https://www.tandfonline.com/doi/full/10.1080/23744731.2025.2539048,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2025-international-journal-accuracy-generalizability-and-extrapolation-a,"Accuracy, generalizability, and extrapolation ability of physics-based, data-driven, and hybrid models for real-life cooling towers","Kim, J. H.; Kim, Y. S.; Jo, H. G.; Urabe, E.; Mun, J.; Shin, Y.; Park, Y.; Park, C. S.",2025,"Building and Environment, 112756.",journal-article,international-journal,coauthor,false,,https://www.sciencedirect.com/science/article/abs/pii/S0360132325002380,hvac-control;uncertainty-ml;performance-evaluation,hvac-control,fab-ut-optimization-2022,,
2025-international-journal-toward-scalable-prediction-of-indoor-thermal,Toward scalable prediction of indoor thermal dynamics: Neural-network-implemented state-space (NNiSS) model,"Mun, J.; Jo, H. G.; Park, C. S.",2025,"Energy and Buildings 331, 115359.",journal-article,international-journal,coauthor,false,,https://www.sciencedirect.com/science/article/abs/pii/S0378778825000891,uncertainty-ml,uncertainty-ml,,,
2021-domestic-journal-stochastic-daylight-model-and-its-application,Stochastic Daylight Model and Its Application to Model Predictive Control in Large-Space Buildings,"Jo, H. G.; Kim, Y. S.; Park, C. S.",2021,"Journal of the Architectural Institute of Korea, Vol. 37, No. 12, pp. 255-264.",journal-article,domestic-journal,first,false,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10819108,daylighting;uncertainty-ml;hvac-control,daylighting,fab-ut-optimization-2022;light-hvac-optimization-2020,hvac-studio,
2023-domestic-journal-issues-in-quasi-steady-state-building-energy,"Issues in Quasi-Steady-State Building Energy Analysis Tools: Focusing on ECO2, the Korean Building Energy Efficiency Rating Certification Evaluation Program","Lee, S. J.; Jo, H. G.; Yoo, Y. S.; Park, C. H.; Park, C. S.",2023,"Journal of the Architectural Institute of Korea, Vol. 40, No. 1, pp. 169-176.",journal-article,domestic-journal,coauthor,false,,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE11698671,green-retrofit;building-energy-simulation;performance-evaluation,green-retrofit,green-remodeling-carbon-database-2022;building-energy-rating-foundation-2021,co2-reduction-finder,
2024-international-conference-optimal-control-strategies-of-a-heat-recovery,Optimal Control Strategies of a Heat Recovery System for a Building,"Jo, H. G.; Kim, Y. S.; Kim, J. H.; Park, C. S.; Urabe, E.; Mun, J.; Shin, Y.; Park, Y.",2024,"Proceedings of SASBE 2024, November 7-9, 2024, Auckland, New Zealand.",conference-paper,international-conference,first,false,10.1007/978-981-96-4051-5,https://link.springer.com/book/10.1007/978-981-96-4051-5,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2022-international-conference-real-time-indoor-daylight-illuminance-simulat,Real-time indoor daylight illuminance simulation of an existing building using minimal data,"Jo, H. G.; Choi, S. H.; Park, C. S.",2022,"Proceedings of the 2022 Winter Simulation Conference, December 11-14, 2022, Singapore, Singapore.",conference-paper,international-conference,first,false,,,daylighting,daylighting,light-hvac-optimization-2020,,"Presentation _ Real-Time Indoor Daylight Illuminance Simulation of an Existing Building Using Minimal Data (Jo, H. G.)"
2021-international-conference-application-of-daylighting-gaussian-process-e,Application of daylighting Gaussian process emulator to lighting control of an existing building,"Jo, H. G.; Kim, Y. S.; Park, C. S.",2021,"Proceedings of the 2021 Winter Simulation Conference, December 13-17, 2021, Phoenix, Arizona, USA.",conference-paper,international-conference,first,false,,,daylighting;uncertainty-ml;hvac-control,daylighting,fab-ut-optimization-2022;light-hvac-optimization-2020,hvac-studio,"Presentation _ Application of Daylighting Gaussian Process Emulator to Lighting Control of an Existing Building (Jo, H. G.).pdf"
2020-international-conference-illuminance-prediction-using-a-hybrid-simulat,Illuminance prediction using a hybrid simulation model based on a single reference measurement,"Jo, H. G.; Park, C. S.",2020,"Proceedings of the 2020 Winter Simulation Conference, December 14-18, 2020, Orlando, USA. Virtual Conference.",conference-paper,international-conference,first,false,,,daylighting;building-energy-simulation,daylighting,light-hvac-optimization-2020,,"Presentation _ Illuminance Prediction Using a Hybrid Simulation Model Based on a Single Reference Measurement (Jo, H. G.)"
2026-international-conference-generalizable-chiller-model-via-domain-invari,Generalizable chiller model via domain-invariant representation learning: a real-life case study,"Kim, J. H.; Jo, H. G.; Mun, J.; Park, C. S.",2026,"Proceedings of the 2026 ASHRAE Winter Conference, January 31-February 4, 2026, Las Vegas, USA.",conference-paper,international-conference,coauthor,false,,,hvac-control;uncertainty-ml,hvac-control,fab-ut-optimization-2022,hvac-studio,
2025-international-conference-causality-driven-interpretable-surrogate-mode,"Causality-driven, interpretable surrogate modelling for DOAS preheating control","Mun, J. Y.; Jo, H. G.; Kim, J. H.; Park, C. S.; Urabe, E.; Mun, J. H.; Park, C. S.",2025,"Proceedings of the 14th International Symposium on Heating, Ventilating, and Air-Conditioning (ISHVAC), November 29-December 2, 2025, Tokyo, Japan.",conference-paper,international-conference,coauthor,false,,,hvac-control;uncertainty-ml,hvac-control,fab-ut-optimization-2022,hvac-studio,
2025-international-conference-causal-analysis-of-energy-retrofit-for-real-l,Causal analysis of energy retrofit for real-life cases using Average Treatment Effect,"Lee, S. J.; Park, C. H.; Jo, H. G.; Park, C. S.",2025,"Proceedings of the 14th International Symposium on Heating, Ventilating, and Air-Conditioning (ISHVAC), November 29-December 2, 2025, Tokyo, Japan.",conference-paper,international-conference,coauthor,false,,,green-retrofit;uncertainty-ml;performance-evaluation,green-retrofit,green-remodeling-performance-2025;green-remodeling-carbon-database-2022,,
2024-international-conference-enhancing-scalability-of-neural-networks-for,Enhancing Scalability of Neural Networks for MPC by Interconnecting Building Dynamics,"Mun, J. Y.; Jo, H. G.; Cho, S. K.; Park, C. S.",2024,"Proceedings of the 5th Asia Conference of International Building Performance Simulation Association 2024, December 8-10, 2024, Osaka, Japan.",conference-paper,international-conference,coauthor,false,,,uncertainty-ml;hvac-control;research-software,uncertainty-ml,fab-ut-optimization-2022,hvac-studio,
2024-international-conference-optimal-control-strategies-for-multiple-chill,Optimal Control Strategies for Multiple Chillers in a Building,"Kim, Y. S.; Kim, J. H.; Jo, H. G.; Park, C. S.; Urabe, E.; Mun, J.; Shin, Y.; Park, Y.",2024,"Proceedings of SASBE 2024, November 7-9, 2024, Auckland, New Zealand.",conference-paper,international-conference,coauthor,false,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2024-international-conference-model-predictive-control-for-a-large-scale-co,Model Predictive Control for a Large-Scale Cooling Tower System Using a Transfer Learning Model,"Kim, J. H.; Kim, Y. S.; Jo, H. G.; Park, C. S.; Urabe, E.; Mun, J.; Shin, Y.; Park, Y.",2024,"Proceedings of the 2024 ACEEE Summer Study on Energy Efficiency in Buildings, August 4-9, 2024, Pacific Grove, CA, USA.",conference-paper,international-conference,coauthor,false,,,hvac-control;uncertainty-ml,hvac-control,fab-ut-optimization-2022,hvac-studio,
2023-international-conference-optimization-technology-of-chilled-water-syst,Optimization technology of chilled water system simulator for an industrial plant FAB,"Urabe, E.; Park, Y. S.; Gwak, J. H.; Kim, Y. S.; Jo, H. G.; Kim, J. H.; Park, C. S.",2023,"Proceedings of the 18th IBPSA Conference, September 4-6, 2023, Shanghai, China, pp. 3122-3128.",conference-paper,international-conference,coauthor,false,,,hvac-control;research-software,hvac-control,fab-ut-optimization-2022,hvac-studio,available online
2023-international-conference-integrated-optimal-control-for-cooling-ahu-wi,Integrated optimal control for cooling AHU with two different chillers,"Kim, J. H.; Kim, Y. S.; Jo, H. G.; Park, C. S.; Urabe, E.; Park, Y. S.; Gwak, J. H.",2023,"Proceedings of the 18th IBPSA Conference, September 4-6, 2023, Shanghai, China, pp. 3427-3434.",conference-paper,international-conference,coauthor,false,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,available online
